territory_id,region,postcode_prefixes,estimated_population,indicative_business_count,average_household_income, Status
"1,Greater London,E1+|E2+|E3+|E14*,320000,18500,48000, Available"
"2,Greater London,E4+|E5+|E8+|E9+ ,300000,13500,44000, Available"
"3,Greater London,E6+|E7+|E12*|E13*|E16* ,310000,14000,40000, Available"
"4,Greater London,EC1+|EC2+|EC3+|EC4+|WC1+|WC2+,290000,55000,60000, Available"
"5,Greater London,N1+|N4+|N5+|N7+|N19*,310000,12000,46000, Available"
"6,Greater London,N2+|N3+|N6+|N8+|N10*|N11* ,300000,14000,50000, Available"
"7,Greater London,NW1+|NW3+|NW5+|NW6+|NW8+ ,300000,16500,58000, Available"
"8,Greater London,SE1+|SE5+|SE11*|SE17* ,310000,15000,43000, Available"
"9,Greater London,SE2+|SE7+|SE8+|SE9+|SE18*|SE28* ,320000,13500,40000, Available"
"10,Greater London,SW1+|SW3+|SW5+|SW7+|SW10* ,290000,19000,65000, Available"
"11,South East Coastal, BN1|BN2|BN3,310000,15000,44000, Available"
"12,South East London,BN11|BN12BN13|BN14|BN15, 300000, 12500, 39000, Available"
"13, South East Coastal, BN16|BN17|BN18|BN41|BN44,  295000, 11000, 40000, Available"
"14, South East Coastal,CT1|CT2|CT3|CT4|CT5, 315000, 12000, 37000, Available"
"15, South East Coastal,  CT6|CT7|CT8|CT9|CT10|CT11, 320000, 11000, 35000, Available"
"16, South East Coastal, CT12|CT13|CT14|CT15|CT16|CT17, 300000, 9500, 34000, Available"
"17, South East Coastal, TN1| TN2|TN3|TN4,  290000, 12000, 46000, Available"
"18, South East Coastal, TN9|TN10|TN11|TN12|TN13, 300000, 11500, 44000, Available"
"19, South East Coastal, PO1|PO2| PO3|PO4|PO5|PO6, 310000, 12000, 39000, Available"
"20, South East Coastal, PO10|PO11|PO12|PO13|PO14,  300000, 10500, 40000, Available"
"21,Surrey & North Sussex,GU1|GU2|GU3|GU4|GU5,310000,13000,54000,Available"
"22,Surrey & North Sussex,GU6|GU7|GU8|GU9|GU10,300000,12000,51000,Available"
"23,Surrey & North Sussex,GU11|GU12|GU14|GU15|GU16,315000,13500,48000,Available"
"24,Surrey & North Sussex,GU17|GU18|GU19|GU20|GU21,300000,12000,49000,Available"
"25,Surrey & North Sussex,RH1|RH2|RH3|RH4|RH5,310000,11500,47000,Available"
"26,Surrey & North Sussex,RH6|RH7|RH8|RH9|RH10,300000,11000,45000,Available"
"27,Surrey & North Sussex,KT1|KT2|KT3|KT4,310000,13000,53000,Available"
"28,Surrey & North Sussex,KT5|KT6|KT7|KT8|KT9,300000,12000,51000,Available"
"29,Surrey & North Sussex,CR0|CR2|CR3|CR4,320000,14500,42000,Available"
"30,Surrey & North Sussex,CR5|CR6|CR7|CR8,300000,12000,43000,Available"
"31,Thames Valley & Berkshire,RG1|RG2|RG30|RG31|RG6,315000,13500,48000,Available"
"32,Thames Valley & Berkshire,RG4|RG5|RG7|RG8|RG10,295000,12000,52000,Available"
"33,Thames Valley & Berkshire,RG12|RG14|RG18|RG19|RG20,300000,12000,51000,Available"
"34,Thames Valley & Berkshire,SL1|SL2|SL3|SL4,310000,13000,56000,Available"
"35,Thames Valley & Berkshire,SL6|SL7|SL8|SL9,300000,12000,58000,Available"
"36,Thames Valley & Berkshire,HP5|HP6|HP7|HP8|HP9,300000,12500,59000,Available"
"37,Thames Valley & Berkshire,HP10|HP11|HP12|HP13|HP14,320000,14000,53000,Available"
"38,Thames Valley & Berkshire,OX1|OX2|OX3|OX4,315000,14500,49000,Available"
"39,Thames Valley & Berkshire,OX5|OX7|OX9|OX10,300000,12000,50000,Available"
"40,Thames Valley & Berkshire,OX11|OX12|OX14|OX15,295000,11500,47000,Available"
"41,East of England (Essex & Herts),CM1|CM2|CM3|CM4|CM5,310000,13000,45000,Available"
"42,East of England (Essex & Herts),CM6|CM7|CM8|CM9|CM77,295000,12000,44000,Available"
"43,East of England (Essex & Herts),CM11|CM12|CM13|CM14|CM15,300000,13000,49000,Available"
"44,East of England (Essex & Herts),SS0|SS1|SS2|SS3|SS4,315000,11500,42000,Available"
"45,East of England (Essex & Herts),SS5|SS6|SS7|SS8|SS9,290000,11000,43000,Available"
"46,East of England (Essex & Herts),CO1|CO2|CO3|CO4,305000,12000,41000,Available"
"47,East of England (Essex & Herts),CO5|CO6|CO7|CO8|CO9,300000,11000,40000,Available"
"48,East of England (Essex & Herts),SG1|SG2|SG3|SG4|SG5,310000,12500,50000,Available"
"49,East of England (Essex & Herts),SG6|SG7|SG8|SG9|SG10,295000,11500,48000,Available"
"50,East of England (Essex & Herts),AL1|AL2|AL3|AL4|AL5,305000,13000,55000,Available"
"51,Midlands Central,B1|B2|B3|B4|B5,310000,18000,37000,Available"
"52,Midlands Central,B6|B7|B8|B9|B10,300000,12500,34000,Available"
"53,Midlands Central,B11|B12|B13|B14|B28,295000,13000,36000,Available"
"54,Midlands Central,B15|B16|B17|B18|B19,305000,14000,38000,Available"
"55,Midlands Central,WS1|WS2|WS3|WS4,300000,11500,35000,Available"
"56,Midlands Central,WS5|WS6|WS7|WS8|WS9,310000,12000,36000,Available"
"57,Midlands Central,WV1|WV2|WV3|WV4,295000,11000,34000,Available"
"58,Midlands Central,DY1|DY2|DY3|DY4,300000,11500,35000,Available"
"59,Midlands Central,DY5|DY6|DY7|DY8,315000,12000,36000,Available"
"60,Midlands Central,CV1|CV2|CV3|CV4,310000,14000,38000,Available"
"61,East Midlands,NG1|NG2|NG3|NG7,310000,13500,39000,Available"
"62,East Midlands,NG4|NG5|NG6|NG8,295000,12500,37000,Available"
"63,East Midlands,NG9|NG10|NG11|NG12,300000,12500,38000,Available"
"64,East Midlands,LE1|LE2|LE3|LE4,320000,15000,40000,Available"
"65,East Midlands,LE5|LE6|LE7|LE8,300000,12000,39000,Available"
"66,East Midlands,DE1|DE21|DE22|DE23,310000,13000,39000,Available"
"67,East Midlands,DE24|DE3|DE72|DE73,295000,11500,37000,Available"
"68,East Midlands,NN1|NN2|NN3|NN4,300000,12000,42000,Available"
"69,East Midlands,NN5|NN6|NN7|NN8,315000,11500,41000,Available"
"70,East Midlands,NN9|NN10|NN11|NN12,295000,10500,40000,Available"
"71,South West Peninsula,EX1|EX2|EX3|EX4|EX5,310000,12000,38000,Available"
"72,South West Peninsula,EX6|EX7|EX8|EX9|EX10,295000,11000,37000,Available"
"73,South West Peninsula,EX11|EX12|EX13|EX14,300000,9800,36000,Available"
"74,South West Peninsula,PL1|PL2|PL3|PL4|PL5,315000,11500,35000,Available"
"75,South West Peninsula,PL6|PL7|PL8|PL9,295000,10500,34000,Available"
"76,South West Peninsula,PL10|PL11|PL12|PL13,300000,9500,35000,Available"
"77,South West Peninsula,TR1|TR2|TR3|TR4,310000,10000,33000,Available"
"78,South West Peninsula,TR5|TR6|TR7|TR8|TR9,295000,9000,33000,Available"
"79,South West Peninsula,TR10|TR11|TR12|TR13,300000,8800,32000,Available"
"80,South West Peninsula,TQ1|TQ2|TQ3|TQ4,310000,10500,34000,Available"
"81,West of England (Bristol & Bath),BS1|BS2|BS3|BS4|BS5,310000,13500,39000,Available"
"82,West of England (Bristol & Bath),BS6|BS7|BS8|BS9|BS10,295000,12500,42000,Available"
"83,West of England (Bristol & Bath),BS11|BS13|BS14|BS15,300000,11500,36000,Available"
"84,West of England (Bristol & Bath),BS16|BS20|BS21|BS22,315000,12000,38000,Available"
"85,West of England (Bristol & Bath),BA1|BA2|BA3|BA11,300000,11000,41000,Available"
"86,West of England (Bristol & Bath),BA12|BA13|BA14|BA15,295000,10500,39000,Available"
"87,West of England (Bristol & Bath),SN1|SN2|SN3|SN4,310000,12000,40000,Available"
"88,West of England (Bristol & Bath),SN5|SN6|SN25|SN26,300000,11000,38000,Available"
"89,West of England (Bristol & Bath),SN7|SN8|SN9|SN10,295000,10000,37000,Available"
"90,West of England (Bristol & Bath),BS23|BS24|BS25|BS26,300000,10500,35000,Available"
"91,South Wales,CF10|CF11|CF14|CF15,310000,12000,37000,Available"
"92,South Wales,CF23|CF24|CF3|CF5,295000,11500,36000,Available"
"93,South Wales,CF31|CF32|CF33|CF34,300000,10500,34000,Available"
"94,South Wales,CF35|CF36|CF37|CF38,315000,10000,35000,Available"
"95,South Wales,NP4|NP10|NP11|NP12,300000,9500,33000,Available"
"96,South Wales,NP13|NP19|NP20|NP23,295000,9000,32000,Available"
"97,South Wales,SA1|SA2|SA3|SA4,310000,10000,34000,Available"
"98,South Wales,SA5|SA6|SA7|SA8,300000,9500,33000,Available"
"99,South Wales,SA9|SA10|SA11|SA12,295000,9000,32000,Available"
"100,South Wales,SA13|SA14|SA15|SA16,300000,8800,31000,Available"
"101,North Wales & Borders,LL11|LL12|LL13|LL14,310000,9000,32000,Available"
"102,North Wales & Borders,LL15|LL16|LL17|LL18,295000,8500,31000,Available"
"103,North Wales & Borders,LL19|LL20|LL21|LL22,300000,8000,30000,Available"
"104,North Wales & Borders,LL23|LL24|LL25|LL26,295000,7800,30000,Available"
"105,North Wales & Borders,CH1|CH2|CH3|CH4,315000,12000,38000,Available"
"106,North Wales & Borders,CH5|CH6|CH7|CH8,300000,10500,35000,Available"
"107,North Wales & Borders,CH41|CH42|CH43|CH44,310000,11000,33000,Available"
"108,North Wales & Borders,SY1|SY2|SY3|SY4,300000,9500,34000,Available"
"109,North Wales & Borders,SY5|SY6|SY7|SY8,295000,8500,33000,Available"
"110,North Wales & Borders,SY9|SY10|SY11|SY12,300000,8800,32000,Available"
"111,Merseyside & Cheshire,L1|L2|L3|L8|L7,310000,13000,36000,Available"
"112,Merseyside & Cheshire,L4|L5|L6|L9|L10,295000,11500,33000,Available"
"113,Merseyside & Cheshire,L11|L12|L13|L14,300000,10500,32000,Available"
"114,Merseyside & Cheshire,L15|L16|L17|L18,315000,12000,38000,Available"
"115,Merseyside & Cheshire,L19|L20|L21|L22,300000,10500,34000,Available"
"116,Merseyside & Cheshire,CH60|CH61|CH62|CH63,300000,10000,39000,Available"
"117,Merseyside & Cheshire,WA1|WA2|WA3|WA4,315000,11500,38000,Available"
"118,Merseyside & Cheshire,WA5|WA6|WA7|WA8,300000,10500,36000,Available"
"119,Merseyside & Cheshire,CW1|CW2|CW3|CW4,295000,9500,35000,Available"
"120,Merseyside & Cheshire,CW5|CW6|CW7|CW8,300000,9200,34000,Available"
"121,Greater Manchester,M1|M2|M3|M4|M5,310000,15000,38000,Available"
"122,Greater Manchester,M6|M7|M8|M9|M11,295000,12500,35000,Available"
"123,Greater Manchester,M12|M13|M14|M15,300000,13000,36000,Available"
"124,Greater Manchester,M16|M19|M20|M21,315000,13000,39000,Available"
"125,Greater Manchester,M22|M23|M24|M25,300000,12000,37000,Available"
"126,Greater Manchester,OL1|OL2|OL3|OL4,300000,11000,34000,Available"
"127,Greater Manchester,OL5|OL6|OL7|OL8,295000,10500,33000,Available"
"128,Greater Manchester,SK1|SK2|SK3|SK4,310000,12000,39000,Available"
"129,Greater Manchester,SK5|SK6|SK7|SK8,300000,11500,38000,Available"
"130,Greater Manchester,BL1|BL2|BL3|BL4,295000,10500,34000,Available"
"131,Lancashire & Cumbria,PR1|PR2|PR3|PR4,310000,12000,36000,Available"
"132,Lancashire & Cumbria,PR5|PR6|PR7|PR8,295000,11500,35000,Available"
"133,Lancashire & Cumbria,FY1|FY2|FY3|FY4,300000,11000,34000,Available"
"134,Lancashire & Cumbria,FY5|FY6|FY7|FY8,315000,10500,33000,Available"
"135,Lancashire & Cumbria,LA1|LA2|LA3|LA4,300000,9500,33000,Available"
"136,Lancashire & Cumbria,LA5|LA6|LA7|LA8,295000,8500,32000,Available"
"137,Lancashire & Cumbria,CA1|CA2|CA3|CA4,310000,9000,31000,Available"
"138,Lancashire & Cumbria,CA5|CA6|CA7|CA8,300000,8500,30000,Available"
"139,Lancashire & Cumbria,CA9|CA10|CA11|CA12,295000,8000,30000,Available"
"140,Lancashire & Cumbria,CA13|CA14|CA15|CA16,300000,8000,30000,Available"
"141,West Yorkshire,LS1|LS2|LS3|LS4|LS6,310000,14000,37000,Available"
"142,West Yorkshire,LS7|LS8|LS9|LS10|LS11,300000,12000,35000,Available"
"143,West Yorkshire,LS12|LS13|LS14|LS15,295000,11000,34000,Available"
"144,West Yorkshire,LS16|LS17|LS18|LS19,300000,12000,38000,Available"
"145,West Yorkshire,BD1|BD2|BD3|BD4|BD5,310000,11500,33000,Available"
"146,West Yorkshire,BD6|BD7|BD8|BD9|BD10,295000,11000,32000,Available"
"147,West Yorkshire,WF1|WF2|WF3|WF4,300000,10000,34000,Available"
"148,West Yorkshire,WF5|WF6|WF7|WF8,310000,9500,33000,Available"
"149,West Yorkshire,HX1|HX2|HX3|HX4,300000,9000,32000,Available"
"150,West Yorkshire,HX5|HX6|HX7,295000,8000,31000,Available"
"151,South Yorkshire & North Derbyshire,S1|S2|S3|S4|S5,310000,13000,35000,Available"
"152,South Yorkshire & North Derbyshire,S6|S7|S8|S9|S10,300000,12000,34000,Available"
"153,South Yorkshire & North Derbyshire,S11|S12|S13|S14,295000,11000,33000,Available"
"154,South Yorkshire & North Derbyshire,S17|S18|S20|S21,300000,11000,33000,Available"
"155,South Yorkshire & North Derbyshire,DN1|DN2|DN3|DN4|DN5,310000,12000,32000,Available"
"156,South Yorkshire & North Derbyshire,DN6|DN7|DN8|DN9,295000,11000,31000,Available"
"157,South Yorkshire & North Derbyshire,DN10|DN11|DN12|DN14,300000,10000,31000,Available"
"158,South Yorkshire & North Derbyshire,DN15|DN16|DN17|DN18,315000,10000,30000,Available"
"159,South Yorkshire & North Derbyshire,DN19|DN20|DN21,300000,9000,30000,Available"
"160,South Yorkshire & North Derbyshire,DN22|DN31|DN32|DN33,295000,9000,29000,Available"
"161,Tyne & Wear,NE1|NE2|NE3|NE4,310000,13000,35000,Available"
"162,Tyne & Wear,NE5|NE6|NE7|NE8,300000,12000,33000,Available"
"163,Tyne & Wear,NE9|NE10|NE11|NE12,295000,11000,32000,Available"
"164,Tyne & Wear,NE13|NE15|NE16|NE17,300000,11000,31000,Available"
"165,Tyne & Wear,SR1|SR2|SR3|SR4,310000,11000,31000,Available"
"166,Tyne & Wear,SR5|SR6|SR7|SR8,295000,10000,30000,Available"
"167,Tyne & Wear,DH1|DH2|DH3|DH4,300000,9500,32000,Available"
"168,Tyne & Wear,DH5|DH6|DH7,295000,9000,30000,Available"
"169,Tyne & Wear,DH8|DH9,300000,8500,30000,Available"
"170,Tyne & Wear,NE20|NE21|NE22|NE23,310000,10000,31000,Available"
"171,Tees Valley & North Yorkshire,TS1|TS2|TS3|TS4,310000,11000,30000,Available"
"172,Tees Valley & North Yorkshire,TS5|TS6|TS7|TS8,295000,10500,30000,Available"
"173,Tees Valley & North Yorkshire,TS9|TS10|TS11|TS12,300000,10000,29000,Available"
"174,Tees Valley & North Yorkshire,TS13|TS14|TS15|TS16,295000,9500,29000,Available"
"175,Tees Valley & North Yorkshire,DL1|DL2|DL3|DL4,310000,10500,31000,Available"
"176,Tees Valley & North Yorkshire,DL5|DL6|DL7|DL8,300000,9500,31000,Available"
"177,Tees Valley & North Yorkshire,YO1|YO10|YO19|YO23,315000,12000,36000,Available"
"178,Tees Valley & North Yorkshire,YO24|YO26|YO30|YO31,300000,11000,35000,Available"
"179,Tees Valley & North Yorkshire,HG1|HG2|HG3,295000,10000,39000,Available"
"180,Tees Valley & North Yorkshire,YO32|YO41|YO42,300000,9000,34000,Available"
"181,East Anglia & Lincolnshire,PE1|PE2|PE3|PE4,310000,11500,33000,Available"
"182,East Anglia & Lincolnshire,PE7|PE8|PE9|PE10,295000,10000,32000,Available"
"183,East Anglia & Lincolnshire,NR1|NR2|NR3|NR4|NR5,300000,11000,34000,Available"
"184,East Anglia & Lincolnshire,NR6|NR7|NR8|NR9,295000,10500,33000,Available"
"185,East Anglia & Lincolnshire,IP1|IP2|IP3|IP4,310000,11000,33000,Available"
"186,East Anglia & Lincolnshire,IP5|IP6|IP7|IP8,300000,10000,32000,Available"
"187,East Anglia & Lincolnshire,LN1|LN2|LN3|LN4,295000,9000,31000,Available"
"188,East Anglia & Lincolnshire,LN5|LN6|LN7|LN8,300000,9000,30000,Available"
"189,East Anglia & Lincolnshire,LN9|LN10|LN11,295000,8500,29000,Available"
"190,East Anglia & Lincolnshire,PE11|PE12|PE13,300000,9000,30000,Available"
"191,Midlands East Shires,MK1|MK2|MK3|MK4|MK5,310000,12000,44000,Available"
"192,Midlands East Shires,MK6|MK7|MK8|MK9,295000,11500,43000,Available"
"193,Midlands East Shires,MK10|MK11|MK12|MK13,300000,11000,42000,Available"
"194,Midlands East Shires,MK14|MK15|MK16|MK17,300000,10500,42000,Available"
"195,Midlands East Shires,NN13|NN14|NN15|NN16,315000,11000,41000,Available"
"196,Midlands East Shires,NN17|NN18|NN19|NN29,295000,10500,40000,Available"
"197,Midlands East Shires,LE12|LE14|LE15|LE16,300000,10000,41000,Available"
"198,Midlands East Shires,LE67|LE65|LE12,295000,9500,40000,Available"
"199,Midlands East Shires,NG13|NG14|NG15,300000,10500,39000,Available"
"200,Midlands East Shires,NG16|NG17|NG18,300000,10000,38000,Available"
